Unnamed: 0,GEOID,Longitude,Latitude,LST_Celsius,impervious,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
739,60710023112,-117.4683868,34.12489729,44.782,68.2,Block Group 2; Census Tract 23.11; San Bernardino County; California,1787,1787,0,100.0
740,60710100322,-117.2904775,34.40548748,47.75066667,20.33333333333333,Block Group 2; Census Tract 100.32; San Bernardino County; California,1009,1009,0,100.0
741,60710079053,-117.1787692,34.12880473,43.57694444,30.032258064516128,Block Group 3; Census Tract 79.05; San Bernardino County; California,1446,1446,0,100.0
742,60710079052,-117.1874651,34.12717385,44.71309859,34.27272727272727,Block Group 2; Census Tract 79.05; San Bernardino County; California,1404,1404,0,100.0
743,60710079051,-117.1933142,34.12909983,45.68685714,42.625,Block Group 1; Census Tract 79.05; San Bernardino County; California,750,750,0,100.0
744,60710078003,-117.2049526,34.05553166,45.42735294,51.55,Block Group 3; Census Tract 78; San Bernardino County; California,1652,1652,0,100.0
745,60710078004,-117.216019,34.0543122,45.74731343,42.78947368421053,Block Group 4; Census Tract 78; San Bernardino County; California,1062,1062,0,100.0
746,60710091301,-117.4314047,34.5220674,50.09037736,44.42857142857143,Block Group 1; Census Tract 91.30; San Bernardino County; California,2154,2154,0,100.0
747,60710091302,-117.4237513,34.52477864,50.09037736,42.125,Block Group 2; Census Tract 91.30; San Bernardino County; California,2921,2921,0,100.0
748,60710091293,-117.4037988,34.52852924,48.86127273,33.19047619047619,Block Group 3; Census Tract 91.29; San Bernardino County; California,2488,2488,0,100.0
749,60710074104,-117.213185,34.13394526,46.28521127,48.2,Block Group 4; Census Tract 74.10; San Bernardino County; California,2164,2164,0,100.0
750,60710074123,-117.2393492,34.1453629,46.01029412,48.94117647058823,Block Group 3; Census Tract 74.12; San Bernardino County; California,2016,2016,0,100.0
751,60710064023,-117.2480856,34.11853395,47.10411765,41.66666666666666,Block Group 3; Census Tract 64.02; San Bernardino County; California,1820,1820,0,100.0
752,60710074122,-117.2384968,34.13837713,46.22408451,60.833333333333336,Block Group 2; Census Tract 74.12; San Bernardino County; California,1929,1929,0,100.0
753,60710074121,-117.2294322,34.13973989,46.22408451,32.125,Block Group 1; Census Tract 74.12; San Bernardino County; California,1321,1321,0,100.0
754,60710074124,-117.2313604,34.14539206,45.87686567,55.55555555555556,Block Group 4; Census Tract 74.12; San Bernardino County; California,1379,1379,0,100.0
755,60710063041,-117.2480946,34.12495073,46.71716418,48.84615384615385,Block Group 1; Census Tract 63.04; San Bernardino County; California,2205,2205,0,100.0
756,60710063043,-117.2504661,34.13178471,46.63115942,57.333333333333336,Block Group 3; Census Tract 63.04; San Bernardino County; California,1483,1483,0,100.0
757,60710063042,-117.2454358,34.13246323,46.63115942,50.333333333333336,Block Group 2; Census Tract 63.04; San Bernardino County; California,1055,1055,0,100.0
758,60710061012,-117.2606702,34.15792165,45.58823529,48.583333333333336,Block Group 2; Census Tract 61.01; San Bernardino County; California,2195,2195,0,100.0
759,60710061011,-117.2606459,34.15198289,45.58823529,42.8,Block Group 1; Census Tract 61.01; San Bernardino County; California,1636,1636,0,100.0
760,60710061022,-117.2502469,34.15081834,46.05925373,60.75,Block Group 2; Census Tract 61.02; San Bernardino County; California,1303,1303,0,100.0
761,60710061021,-117.2480773,34.15488642,46.05925373,52.16666666666666,Block Group 1; Census Tract 61.02; San Bernardino County; California,1855,1855,0,100.0
762,60710051012,-117.2766598,34.15411266,44.77567164,18.047619047619047,Block Group 2; Census Tract 51.01; San Bernardino County; California,929,929,0,100.0
763,60710091372,-117.3870941,34.48202573,46.45807018,41.26315789473684,Block Group 2; Census Tract 91.37; San Bernardino County; California,2992,2992,0,100.0
764,60710091351,-117.3982389,34.47599106,49.34107143,24.43478260869565,Block Group 1; Census Tract 91.35; San Bernardino County; California,2984,2984,0,100.0
765,60710091382,-117.3747971,34.49168455,46.41135593,47.0,Block Group 2; Census Tract 91.38; San Bernardino County; California,2500,2500,0,100.0
766,60710091392,-117.3950811,34.4922273,47.60789474,33.96666666666667,Block Group 2; Census Tract 91.39; San Bernardino County; California,2920,2920,0,100.0
767,60710087151,-117.0420397,34.06091523,43.1061194,18.9,Block Group 1; Census Tract 87.15; San Bernardino County; California,1692,1692,0,100.0
768,60710091251,-117.4214399,34.51392321,48.14719298,45.375,Block Group 1; Census Tract 91.25; San Bernardino County; California,3733,3733,0,100.0
769,60710091242,-117.4081977,34.51763336,47.42068966,27.944444444444443,Block Group 2; Census Tract 91.24; San Bernardino County; California,3033,3033,0,100.0
770,60710087131,-117.0796448,34.01797225,46.94565217,14.022727272727272,Block Group 1; Census Tract 87.13; San Bernardino County; California,1345,1345,0,100.0
771,60710087162,-117.0488204,34.04415514,43.74393939,35.19230769230769,Block Group 2; Census Tract 87.16; San Bernardino County; California,2194,2194,0,100.0
772,60710087161,-117.048703,34.03908944,44.75818182,39.53846153846154,Block Group 1; Census Tract 87.16; San Bernardino County; California,2871,2871,0,100.0
773,60710087133,-117.0625969,34.03000383,45.25238806,39.63636363636363,Block Group 3; Census Tract 87.13; San Bernardino County; California,1662,1662,0,100.0
774,60710091362,-117.4038921,34.4922034,49.10172414,36.266666666666666,Block Group 2; Census Tract 91.36; San Bernardino County; California,3127,3127,0,100.0
775,60710082013,-117.1843385,34.05024542,42.48076923,47.5,Block Group 3; Census Tract 82.01; San Bernardino County; California,1362,1362,0,100.0
776,60710082021,-117.1741937,34.04512359,42.48076923,48.46153846153846,Block Group 1; Census Tract 82.02; San Bernardino County; California,1841,1841,0,100.0
777,60710081003,-117.1937131,34.05569931,45.16134328,36.75,Block Group 3; Census Tract 81; San Bernardino County; California,683,683,0,100.0
778,60710076053,-117.2323712,34.11851306,47.24333333,68.0,Block Group 3; Census Tract 76.05; San Bernardino County; California,1648,1648,0,100.0
779,60710080033,-117.1759571,34.06823677,45.57434783,54.333333333333336,Block Group 3; Census Tract 80.03; San Bernardino County; California,903,903,0,100.0
780,60710080032,-117.180406,34.06901961,46.39253521,57.0,Block Group 2; Census Tract 80.03; San Bernardino County; California,1139,1139,0,100.0
781,60710076062,-117.2368111,34.11048478,46.30633803,31.727272727272727,Block Group 2; Census Tract 76.06; San Bernardino County; California,1737,1737,0,100.0
782,60710024033,-117.4755291,34.08836293,45.17206897,50.53846153846154,Block Group 3; Census Tract 24.03; San Bernardino County; California,2478,2478,0,100.0
783,60710076051,-117.2418914,34.11853369,47.3619403,68.5,Block Group 1; Census Tract 76.05; San Bernardino County; California,1013,1013,0,100.0
784,60710080014,-117.1891057,34.08591845,47.36362319,19.03703703703704,Block Group 4; Census Tract 80.01; San Bernardino County; California,2219,2219,0,100.0
785,60710024061,-117.455774,34.09907928,45.37949153,64.0,Block Group 1; Census Tract 24.06; San Bernardino County; California,1500,1500,0,100.0
786,60710024032,-117.4843751,34.08833963,45.36551724,63.333333333333336,Block Group 2; Census Tract 24.03; San Bernardino County; California,1248,1248,0,100.0
787,60710042013,-117.3370168,34.12998525,47.07615385,27.633333333333333,Block Group 3; Census Tract 42.01; San Bernardino County; California,2724,2724,0,100.0
788,60710024042,-117.4756067,34.10288436,45.04864407,48.5,Block Group 2; Census Tract 24.04; San Bernardino County; California,1744,1744,0,100.0
789,60710024041,-117.4843919,34.10293437,45.04864407,48.4,Block Group 1; Census Tract 24.04; San Bernardino County; California,1668,1668,0,100.0
790,60710020411,-117.5005842,34.14328996,43.55096774,33.72727272727273,Block Group 1; Census Tract 20.41; San Bernardino County; California,2521,2521,0,100.0
791,60710041013,-117.3504151,34.16672043,46.82802817,43.4,Block Group 3; Census Tract 41.01; San Bernardino County; California,1894,1894,0,100.0
792,60710070023,-117.3103609,34.06928935,46.54142857,51.77777777777778,Block Group 3; Census Tract 70.02; San Bernardino County; California,2251,2251,0,100.0
793,60710070012,-117.3111695,34.08133101,46.86746032,55.0,Block Group 2; Census Tract 70.01; San Bernardino County; California,1419,1419,0,100.0
794,60710065022,-117.2669816,34.10732199,46.84147059,34.6,Block Group 2; Census Tract 65.02; San Bernardino County; California,2051,2051,0,100.0
