GEOID,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
60710018132,Block Group 2; Census Tract 18.13; San Bernardino County; California,1282,1282,0,100
60710018133,Block Group 3; Census Tract 18.13; San Bernardino County; California,1016,1016,0,100
60710019011,Block Group 1; Census Tract 19.01; San Bernardino County; California,2219,2219,0,100
60710019012,Block Group 2; Census Tract 19.01; San Bernardino County; California,1276,1276,0,100
60710019013,Block Group 3; Census Tract 19.01; San Bernardino County; California,1998,1998,0,100
60710019061,Block Group 1; Census Tract 19.06; San Bernardino County; California,1256,1256,0,100
60710019062,Block Group 2; Census Tract 19.06; San Bernardino County; California,2271,2271,0,100
60710019063,Block Group 3; Census Tract 19.06; San Bernardino County; California,6711,6711,0,100
60710019064,Block Group 4; Census Tract 19.06; San Bernardino County; California,1816,1816,0,100
60710019071,Block Group 1; Census Tract 19.07; San Bernardino County; California,4466,4372,94,97.89520824
60710019072,Block Group 2; Census Tract 19.07; San Bernardino County; California,3291,3266,25,99.24035248
60710019073,Block Group 3; Census Tract 19.07; San Bernardino County; California,3854,3854,0,100
60710019081,Block Group 1; Census Tract 19.08; San Bernardino County; California,5106,4786,320,93.7328633
60710019091,Block Group 1; Census Tract 19.09; San Bernardino County; California,2869,2869,0,100
60710019101,Block Group 1; Census Tract 19.10; San Bernardino County; California,2231,1757,474,78.75392201
60710019111,Block Group 1; Census Tract 19.11; San Bernardino County; California,2288,2288,0,100
60710019112,Block Group 2; Census Tract 19.11; San Bernardino County; California,1122,1122,0,100
60710019113,Block Group 3; Census Tract 19.11; San Bernardino County; California,2173,2173,0,100
60710020111,Block Group 1; Census Tract 20.11; San Bernardino County; California,2273,2273,0,100
60710020112,Block Group 2; Census Tract 20.11; San Bernardino County; California,1785,1785,0,100
60710020131,Block Group 1; Census Tract 20.13; San Bernardino County; California,1796,1796,0,100
60710020132,Block Group 2; Census Tract 20.13; San Bernardino County; California,2324,2324,0,100
60710020141,Block Group 1; Census Tract 20.14; San Bernardino County; California,2126,2126,0,100
60710020142,Block Group 2; Census Tract 20.14; San Bernardino County; California,2644,2644,0,100
60710020151,Block Group 1; Census Tract 20.15; San Bernardino County; California,2267,2267,0,100
60710020152,Block Group 2; Census Tract 20.15; San Bernardino County; California,2482,2482,0,100
60710020161,Block Group 1; Census Tract 20.16; San Bernardino County; California,1949,1949,0,100
60710020162,Block Group 2; Census Tract 20.16; San Bernardino County; California,1838,1838,0,100
60710020171,Block Group 1; Census Tract 20.17; San Bernardino County; California,2673,2673,0,100
60710020172,Block Group 2; Census Tract 20.17; San Bernardino County; California,1022,1022,0,100
60710020173,Block Group 3; Census Tract 20.17; San Bernardino County; California,1991,1991,0,100
60710020181,Block Group 1; Census Tract 20.18; San Bernardino County; California,2723,2723,0,100
60710020182,Block Group 2; Census Tract 20.18; San Bernardino County; California,2517,2517,0,100
60710020191,Block Group 1; Census Tract 20.19; San Bernardino County; California,2198,2198,0,100
60710020192,Block Group 2; Census Tract 20.19; San Bernardino County; California,2618,2618,0,100
60710020211,Block Group 1; Census Tract 20.21; San Bernardino County; California,1950,1950,0,100
60710020212,Block Group 2; Census Tract 20.21; San Bernardino County; California,1748,1748,0,100
60710020213,Block Group 3; Census Tract 20.21; San Bernardino County; California,1554,1554,0,100
60710020231,Block Group 1; Census Tract 20.23; San Bernardino County; California,1621,1621,0,100
60710020232,Block Group 2; Census Tract 20.23; San Bernardino County; California,690,690,0,100
60710020233,Block Group 3; Census Tract 20.23; San Bernardino County; California,1517,1517,0,100
60710020234,Block Group 4; Census Tract 20.23; San Bernardino County; California,1486,1486,0,100
60710020251,Block Group 1; Census Tract 20.25; San Bernardino County; California,2666,2666,0,100
60710020252,Block Group 2; Census Tract 20.25; San Bernardino County; California,2413,2413,0,100
60710020271,Block Group 1; Census Tract 20.27; San Bernardino County; California,2125,2125,0,100
60710020272,Block Group 2; Census Tract 20.27; San Bernardino County; California,1794,1794,0,100
60710020273,Block Group 3; Census Tract 20.27; San Bernardino County; California,1679,1679,0,100
60710020281,Block Group 1; Census Tract 20.28; San Bernardino County; California,2896,2896,0,100
60710020282,Block Group 2; Census Tract 20.28; San Bernardino County; California,2611,2611,0,100
60710020291,Block Group 1; Census Tract 20.29; San Bernardino County; California,1436,1436,0,100
60710020292,Block Group 2; Census Tract 20.29; San Bernardino County; California,1543,1543,0,100
60710020293,Block Group 3; Census Tract 20.29; San Bernardino County; California,1169,1169,0,100
60710020294,Block Group 4; Census Tract 20.29; San Bernardino County; California,1712,1712,0,100
60710020311,Block Group 1; Census Tract 20.31; San Bernardino County; California,1771,1771,0,100
60710020312,Block Group 2; Census Tract 20.31; San Bernardino County; California,2708,2708,0,100
60710020313,Block Group 3; Census Tract 20.31; San Bernardino County; California,1839,1839,0,100
60710020351,Block Group 1; Census Tract 20.35; San Bernardino County; California,1972,1972,0,100
60710020352,Block Group 2; Census Tract 20.35; San Bernardino County; California,2626,2626,0,100
60710020353,Block Group 3; Census Tract 20.35; San Bernardino County; California,1420,1420,0,100
60710020354,Block Group 4; Census Tract 20.35; San Bernardino County; California,1423,1423,0,100
60710020371,Block Group 1; Census Tract 20.37; San Bernardino County; California,1250,1250,0,100
60710020372,Block Group 2; Census Tract 20.37; San Bernardino County; California,2210,2210,0,100
60710020373,Block Group 3; Census Tract 20.37; San Bernardino County; California,1748,1748,0,100
60710020374,Block Group 4; Census Tract 20.37; San Bernardino County; California,2521,2521,0,100
60710020381,Block Group 1; Census Tract 20.38; San Bernardino County; California,2800,2800,0,100
60710020382,Block Group 2; Census Tract 20.38; San Bernardino County; California,2798,2798,0,100
60710020391,Block Group 1; Census Tract 20.39; San Bernardino County; California,3143,3143,0,100
60710020392,Block Group 2; Census Tract 20.39; San Bernardino County; California,2854,2854,0,100
60710020401,Block Group 1; Census Tract 20.40; San Bernardino County; California,2164,2163,1,99.95378928
60710020402,Block Group 2; Census Tract 20.40; San Bernardino County; California,2995,2995,0,100
60710020411,Block Group 1; Census Tract 20.41; San Bernardino County; California,2521,2521,0,100
60710020412,Block Group 2; Census Tract 20.41; San Bernardino County; California,2658,2658,0,100
60710020421,Block Group 1; Census Tract 20.42; San Bernardino County; California,2553,2550,3,99.88249119
60710020431,Block Group 1; Census Tract 20.43; San Bernardino County; California,2412,2412,0,100
60710020432,Block Group 2; Census Tract 20.43; San Bernardino County; California,1643,1643,0,100
60710020433,Block Group 3; Census Tract 20.43; San Bernardino County; California,2240,2240,0,100
60710020441,Block Group 1; Census Tract 20.44; San Bernardino County; California,2338,2338,0,100
60710020442,Block Group 2; Census Tract 20.44; San Bernardino County; California,2358,2358,0,100
60710020451,Block Group 1; Census Tract 20.45; San Bernardino County; California,1102,1102,0,100
60710020452,Block Group 2; Census Tract 20.45; San Bernardino County; California,1697,1697,0,100
60710020461,Block Group 1; Census Tract 20.46; San Bernardino County; California,2177,2177,0,100
60710020462,Block Group 2; Census Tract 20.46; San Bernardino County; California,1638,1638,0,100
60710020463,Block Group 3; Census Tract 20.46; San Bernardino County; California,1980,1980,0,100
60710020464,Block Group 4; Census Tract 20.46; San Bernardino County; California,1070,1070,0,100
60710020471,Block Group 1; Census Tract 20.47; San Bernardino County; California,1375,1375,0,100
